KKSBusher	KKSNVnpp	name	Unit
12YQS38CT003XQ01	12JAA31CT713XQ01	ря ймхр	oC
12YQS38CT004XQ01	12JAA31CT714XQ01	ро-3	oC
12YQS39CT001XQ01	12JAA31CT721XQ01	ро-1ю	oC
12YQS39CT002XQ01	12JAA31CT722XQ01	ро-1б	oC
12YQS39CT003XQ01	12JAA31CT723XQ01	ро-3	oC
12YQS39CT004XQ01	12JAA31CT724XQ01	ро-1ю	oC
12YQS40CT001XQ01	12JAA31CT731XQ01	ро-1б	oC
12YQS40CT002XQ01	12JAA31CT732XQ01	ря ймхр	oC
12YQS40CT003XQ01	12JAA31CT733XQ01	ро-3	oC
12YQS40CT004XQ01	12JAA31CT734XQ01	ро-1ю	oC
12YQS41CT001XQ01	12JAA31CT741XQ01	ро-1б	oC
12YQS41CT002XQ01	12JAA31CT742XQ01	ро-3	oC
12YQS41CT003XQ01	12JAA31CT743XQ01	ро-1ю	oC
12YQS41CT004XQ01	12JAA31CT744XQ01	ро-1б	oC
12YQS42CT001XQ01	12JAA31CT751XQ01	ря ймхр	oC
12YQS42CT002XQ01	12JAA31CT752XQ01	ро-3	oC
12YQS42CT003XQ01	12JAA31CT753XQ01	ро-1ю	oC
12YQS42CT004XQ01	12JAA31CT754XQ01	ро-1б	oC
12YQS43CT001XQ01	12JAA31CT761XQ01	ро-3	oC
12YQS43CT002XQ01	12JAA31CT762XQ01	ро-1ю	oC
12YQS43CT003XQ01	12JAA31CT763XQ01	ро-1б	oC
12YQS43CT004XQ01	12JAA31CT764XQ01	ря ймхр	oC
12YQS44CT001XQ01	12JAA32CT701XQ01	ро-3	oC
12YQS44CT002XQ01	12JAA32CT702XQ01	ро-1ю	oC
12YQS44CT003XQ01	12JAA32CT703XQ01	ро-1б	oC
12YQS44CT004XQ01	12JAA32CT704XQ01	ря ймхр	oC
11YQS01CX001XQ01	11JAA11CX701XQ01	TOK DPZ01_level1	mkA
11YQS01CX002XQ01	11JAA11CX711XQ01	TOK DPZ01_level2	mkA
11YQS01CX003XQ01	11JAA11CX721XQ01	TOK DPZ01_level3	mkA
11YQS01CX004XQ01	11JAA11CX731XQ01	TOK DPZ01_level4	mkA
11YQS01CX005XQ01	11JAA11CX741XQ01	TOK DPZ01_level5	mkA
11YQS01CX006XQ01	11JAA11CX751XQ01	TOK DPZ01_level6	mkA
11YQS01CX007XQ01	11JAA11CX761XQ01	TOK DPZ01_level7	mkA
11YQS02CX001XQ01	11JAA11CX771XQ01	TOK DPZ02_level1	mkA
11YQS02CX002XQ01	11JAA12CX701XQ01	TOK DPZ02_level2	mkA
11YQS02CX003XQ01	11JAA21CX701XQ01	TOK DPZ02_level3	mkA
11YQS02CX004XQ01	11JAA21CX711XQ01	TOK DPZ02_level4	mkA
11YQS02CX005XQ01	11JAA21CX721XQ01	TOK DPZ02_level5	mkA
11YQS02CX006XQ01	11JAA21CX731XQ01	TOK DPZ02_level6	mkA
11YQS02CX007XQ01	11JAA21CX741XQ01	TOK DPZ02_level7	mkA
11YQS03CX001XQ01	11JAA21CX751XQ01	TOK DPZ03_level1	mkA
11YQS03CX002XQ01	11JAA21CX761XQ01	TOK DPZ03_level2	mkA
11YQS03CX003XQ01	11JAA21CX771XQ01	TOK DPZ03_level3	mkA
11YQS03CX004XQ01	11JAA23CX701XQ01	TOK DPZ03_level4	mkA
11YQS03CX005XQ01	11JAA31CX701XQ01	TOK DPZ03_level5	mkA
11YQS03CX006XQ01	11JAA31CX711XQ01	TOK DPZ03_level6	mkA
11YQS03CX007XQ01	11JAA31CX721XQ01	TOK DPZ03_level7	mkA
11YQS04CX001XQ01	11JAA31CX731XQ01	TOK DPZ04_level1	mkA
11YQS04CX002XQ01	11JAA31CX741XQ01	TOK DPZ04_level2	mkA
11YQS04CX003XQ01	11JAA31CX751XQ01	TOK DPZ04_level3	mkA
11YQS04CX004XQ01	11JAA31CX761XQ01	TOK DPZ04_level4	mkA
11YQS04CX005XQ01	11JAA32CX701XQ01	TOK DPZ04_level5	mkA
11YQS04CX006XQ01	11JAA33CX701XQ01	TOK DPZ04_level6	mkA
11YQS04CX007XQ01	12JAA11CX701XQ01	TOK DPZ04_level7	mkA
11YQS05CX001XQ01	12JAA11CX711XQ01	TOK DPZ05_level1	mkA
11YQS05CX002XQ01	12JAA11CX721XQ01	TOK DPZ05_level2	mkA
11YQS05CX003XQ01	12JAA11CX731XQ01	TOK DPZ05_level3	mkA
11YQS05CX004XQ01	12JAA11CX741XQ01	TOK DPZ05_level4	mkA
11YQS05CX005XQ01	12JAA11CX751XQ01	TOK DPZ05_level5	mkA
11YQS05CX006XQ01	12JAA11CX761XQ01	TOK DPZ05_level6	mkA
11YQS05CX007XQ01	12JAA11CX771XQ01	TOK DPZ05_level7	mkA
11YQS06CX001XQ01	12JAA11CX781XQ01	TOK DPZ06_level1	mkA
